family,n_A,n_B,n_eff,imbalance_ratio,bandwidth_condition,n_outer,A_bar_median,A_bar_mean,A_bar_std,A_bar_q90,A_bar_q95,A_bar_q99,A_w_median,A_w_mean,A_w_std,A_w_q90,A_w_q95,A_w_q99,B_bar_median,B_bar_mean,B_bar_std,B_bar_q90,B_bar_q95,B_bar_q99,ks_stat_median,ks_stat_mean,ks_stat_std,ks_stat_q90,ks_stat_q95,ks_stat_q99,abs_B_bar_median
B_broad_interior,50,100,66.66666666666667,2.0,independent,1000,0.10693924290171647,0.11307525848920864,0.04461921337201875,0.17066396114512095,0.19601755119311096,0.24883671377618247,0.08912766991455583,0.09360239410597804,0.037215406910349934,0.14272051406319183,0.16267798407216907,0.19685580353331364,0.0006008671163273702,-0.003207899513744433,0.03694907302024307,0.04065107972654823,0.05047736787720315,0.07216164008413713,0.14,0.14451999999999998,0.04519526758646543,0.21,0.23,0.28,0.023698057753093197
B_broad_interior,50,100,66.66666666666667,2.0,shared_pooled,1000,0.11900991080328756,0.12521887652647107,0.04451254327878313,0.1869063109415163,0.20837566800032112,0.25327112239788424,0.0989038786228161,0.10401166238298563,0.03680529432713665,0.15385372518325105,0.17045296757461423,0.20137467696811487,-0.010926890736863298,-0.011598999907614137,0.03935111515517901,0.03673525211623487,0.04695522187236731,0.06828353352153702,0.14,0.14362,0.04326624050651463,0.2,0.22,0.26,0.026497029614717862
B_broad_interior,50,250,83.33333333333333,5.0,independent,1000,0.09976046428978036,0.1047775256988757,0.03937524513342617,0.15816827348395304,0.17493094656210442,0.22160824335973028,0.08046216553616158,0.08539555471491696,0.03301960022395888,0.1297303462585019,0.1487730075503387,0.17987511561020775,0.003549808207546346,0.00010406038600364087,0.03545949148455319,0.04138548761715057,0.050911656861389,0.06460909398668035,0.124,0.13029200000000002,0.04000373776330201,0.184,0.208,0.24003999999999995,0.022935501382835156
B_broad_interior,50,250,83.33333333333333,5.0,shared_pooled,1000,0.11864796114481355,0.12624680226301535,0.04396814607486695,0.1872479168351891,0.2090630110837377,0.2472388624379685,0.09796166350401125,0.10331970292289147,0.034822058772295265,0.14881011110659825,0.16387299922905857,0.19804188638413484,-0.015440573355002207,-0.018999623484011213,0.03848370487957934,0.02574517283992286,0.03460872600416656,0.05516897401024037,0.124,0.13085600000000003,0.04006005581713625,0.184,0.204,0.24403999999999995,0.024673302116707676
B_broad_interior,50,500,90.90909090909092,10.0,independent,1000,0.0963224766918424,0.10160428538614501,0.03955823388175233,0.15541502488690703,0.1748590337478855,0.22002236366703337,0.07813770520602105,0.08150249827301705,0.032226139776667974,0.12461004969170247,0.1423838302880054,0.17769162947164646,0.0054033453721774975,-0.0008305436918352014,0.03537927054931396,0.0387543278613663,0.04648730651833693,0.06014504390497401,0.118,0.12427800000000001,0.038239521139483125,0.178,0.202,0.23,0.021786805505894125
B_broad_interior,50,500,90.90909090909092,10.0,shared_pooled,1000,0.12602269071456332,0.1321232451724128,0.0433152804617035,0.19129248780383903,0.21353334679706376,0.2521320950805664,0.10324013818003737,0.10610108879095088,0.033310511337145486,0.14725937208491252,0.16386032740319806,0.20168844722355453,-0.02070938577206015,-0.025032189024941524,0.03947045417609467,0.02170300700184707,0.03027154640800194,0.044125061356939076,0.118,0.12603999999999999,0.04016311087895801,0.184,0.2,0.24802,0.027381380485163576
B_broad_interior,150,1350,270.0,9.0,independent,1000,0.06667384587710143,0.06866207902107234,0.022378063220880016,0.09893575350153296,0.10901003550068164,0.12796962132152162,0.0521496433592388,0.05448098576970424,0.01904681304631221,0.08003825221712463,0.0890037384852556,0.10108538857366961,0.006751479634151782,0.005223242936339588,0.02036157612978706,0.029265040777852837,0.0341685795106816,0.04307030762219539,0.06962962962962962,0.07360888888888889,0.022683936817090584,0.10600000000000001,0.11711111111111104,0.1348296296296296,0.015164100946179048
B_broad_interior,150,1350,270.0,9.0,shared_pooled,1000,0.08338259297957047,0.0862626183357273,0.02444461527480956,0.11967722841911421,0.1297627922479443,0.15138731104253433,0.06857549948901472,0.06992552462537219,0.019050703617865348,0.09532696011409077,0.10373824104906401,0.12088681159018425,-0.008214591099509476,-0.011315069868134764,0.02467973985445273,0.01888088665685977,0.026086314134648375,0.03503059605592916,0.07037037037037037,0.07364444444444444,0.02149718238250627,0.1037037037037037,0.11485185185185182,0.13185185185185186,0.01602337941834987
C_boundary_heavy,50,50,50.0,1.0,independent,1000,0.2788322679694377,0.27601178485659317,0.10435869323730153,0.4117229814876093,0.44906329286149144,0.5028746945542526,0.10583948521558433,0.11077528695591946,0.04558346106036458,0.17646072286592906,0.19292781805287695,0.23293914722334622,0.0005522265400345198,0.008302642912434393,0.21380865492355644,0.2977685194458605,0.3526004512420512,0.4180698773268883,0.16,0.16502000000000003,0.05031233378537445,0.24,0.26,0.3,0.1720016647155952
C_boundary_heavy,50,50,50.0,1.0,shared_pooled,1000,0.27017530288179153,0.2716677645148964,0.09344063550154795,0.38884575695606644,0.42432718324523877,0.49310614996711033,0.10927260188125713,0.11444138825980003,0.04303049000403811,0.17298229385805922,0.19148033986883278,0.23372674693256276,-0.008160506900782565,-0.001600447085091596,0.18892790727900513,0.24730588923295954,0.2911571587512576,0.37658432944102677,0.16,0.16418000000000002,0.051830628146049065,0.24,0.26,0.32,0.1541584183574941
